سیاوش
علی دیلمی
برزوی
هوشنگ
همای چهرآزاد
یاوه
بابک‌رودیاب
عمر سعد وقاص
برته
غرچه
بارمان
محمد
گشسپ
نوذر
فرهاد
سپینود
کهرم
نوش زاد
اورمزد
مهبود
مهرک نوش زاد
زرسب
مردوی
اردشیر
کیخسرو
رام‌برزین
سوفرا
ارژنگ دیو
منیژه
مهرهرمزد
شیرزیل
آیین‌گشسپ
بهرام چوبین
قحطان
زنگه شاوران
زواره
رودکی
رشنواد
نستاو
ماهیار
طوش
روئین‌
برزمهر
قباد
رهام
اسپنوی
خزروان
برزین
خشاش
نستوه
بهرام ماه آذر
فرانک
خَنْجَست
زاد‌فرخ
کتایون
هَمْدان گُشسپ
رادوی
پیداوسی
کیومرث
نوشزاد
الان
زنگله
سام
جمشید
سورگ‌هندی
نوش آذر
قلون
طوس
طایر
نریمان
هفتواد
بغستان
گرو
دادبرزین آژنگ‌چهر
یزدگرد
زنگوی
پرموده
تخوار
باربد
پیران ویسه
گودرز اشکانی
سیامک
گهار‌گهانی
روشنک
کَیروی
اغریرث
آرش
نوش‌زاد
مریم
کشواد
بزرگمهر
فغانیش
سباک
شاپور اشکانی
طهماسب
پیلسم
خرنجاس
گردوی
پیروز یکم
گرگین میلاد
نعمان
کالو
بندوی
فردوسی
اردشیر بابکان
شهرگیر
شیدوش
رودابه
چنگش
استقیلا
مهربرزین
سوسنک
ماه آذر
هرمز کدخدای ده
ساوه‌شاه
دارا‌پناه
سوخرا
کاکوی
بیدرفش
خسرو پرویز
مسیح
مامون
اشکش
اهرن
شمر
الوای
پشنگ
داراب
یلان سینه
بیورد
مهراس
بستور
حیی قتیب
پیروز خسرو
پلاشان
سیندخت
مقاتوره
خراسان
کرم  هفتواد
ماه آفرید
خوشنواز
زروان
فرخ زاد
مهرک نوش‌زاد
شیروی
به‌آفرید
آذرنوش
شیرخون
لواده
شطرخ
جهن‌برزین
کیانوش
جمهور
قراخان
میلاد
شمیران
محمود غزنوی
اندبان
گیوه
شگنان
یانُس
خضر پیامبر
قیدروش
گرسیوز
کتماره
روزبه
کلباد
بادان
دارا پناه
تلیمان
برانوش
گیوه‌
یزدگرد دبیر
اسرافیل
توس
گلشهر
هیشوی
گستهم
برزویلا
آزادسرو
پشین
مهرپیروز
آیین گشسپ
شماساس
خسرو
زرمهر
ماه‌آفرید
دمور
شیدسپ
بهرام اشکانی
همای
زهیر
ارتنگ
بهرام شیراوژن
زاد فرخ
نصر‌قتیب
به آفرید
جهن برزین
اوخواست
سهراب
خراد‌
دیو سپید
سپهرم
نصر سامانی
ساوه شاه
جرنجاش
طینوش
شنبلید
شمیران شنگی
عمر بن خطاب
دادبرزین آژنگ چهر
میروی طبری
ماهیار گوهرفروش
رادمان
مهران
رخش
بستاو
حسنوی
جریره
منوچهر
بابک
شهرناز
خواست‌یزد
اسکندر
ترخان
قارن
کیکاوس
گرازه
ضحاک
گرگسار
نرسی
شغاد
ارمایل
گلینوش
